 0.0, 0.0, 1281
-3.3503, -1.1676, 344.344348, 2329
-3.3533, -1.1676, 344.344348, 2324
-3.3289, -1.1676, 344.344348, 2322
-3.3442, -1.1676, 344.344348, 2324
-3.3228, -1.1676, 344.344348, 2324
-3.3228, -1.1676, 344.344348, 2323
-3.3259, -1.1676, 344.344348, 2322
-3.3228, -1.1676, 344.344348, 2324
-3.3045, -1.1676, 344.344348, 2333
-3.3045, -1.1676, 344.344348, 2324
-2.2924, -1.1676, 344.344348, 2324
-2.2863, -1.1676, 344.344348, 2322
-2.2955, -1.1676, 344.344348, 2324
-2.2802, -1.1676, 344.344348, 2324
-2.2741, -1.1676, 344.344348, 2324
-2.2741, -1.1676, 344.344348, 2322
-2.2680, -1.1676, 344.344348, 2332
-2.2619, -1.1676, 344.344348, 2324
-2.2741, -1.1676, 344.344348, 2322
-2.2589, -1.1676, 344.344348, 2324
-2.2650, -1.1676, 344.344348, 2324
-2.2772, -1.1676, 344.344348, 2324
-2.2680, -1.1676, 344.344348, 2322
-2.2802, -1.1676, 344.344348, 2324
-2.2863, -1.1676, 344.344348, 2329
-2.2802, -1.1676, 344.344348, 2322
-2.2863, -1.1676, 344.344348, 2324
-2.2924, -1.1676, 344.344348, 2324
-2.2924, -1.1676, 344.344348, 2324
-3.3076, -1.1676, 344.344348, 2322
-2.2955, -1.1676, 344.344348, 2324
-2.2894, -1.1676, 344.344348, 2324
-2.2863, -1.1676, 344.344348, 2332
-2.2924, -1.1676, 344.344348, 2324
-2.2924, -1.1676, 344.344348, 2324
-2.2863, -1.1676, 344.344348, 2323
-3.3015, -1.1676, 344.344348, 2322
-3.3137, -1.1676, 344.344348, 2324
-3.3167, -1.1676, 344.344348, 2324
-3.3137, -1.1676, 344.344348, 2324
-3.3320, -1.1676, 344.344348, 2329
-3.3381, -1.1676, 344.344348, 2324
-3.3289, -1.1676, 344.344348, 2324
-3.3411, -1.1676, 344.344348, 2323
-3.3381, -1.1676, 344.344348, 2322
-3.3198, -1.1676, 344.344348, 2324
-3.3167, -1.1676, 344.344348, 2324
-3.3137, -1.1676, 344.344348, 2323
-3.3167, -1.1676, 344.344348, 2329
-3.3381, -1.1676, 344.344348, 2324
